Airfoil,AoA,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,L/D
cr001sm,9,1.3733,0.01702,0.0108,-0.0907,0.0073,1,80.6874
cr1,-1,0.3582,0.00782,0.0018,-0.0949,0.6762,0.1197,45.8056
cr1,-2,0.2511,0.00804,0.00201,-0.0964,0.694,0.1025,31.2313
cr1,-3,0.1427,0.0082,0.00223,-0.0977,0.7105,0.0893,17.4024
cr1,-4,0.0357,0.00858,0.00256,-0.0993,0.7286,0.06,4.16084
cr1,-5,-0.0697,0.00929,0.00325,-0.1012,0.7463,0.0439,-7.50269
cr1,0,0.4621,0.00757,0.00163,-0.0926,0.6463,0.1571,61.0436
cr1,10,1.3622,0.01508,0.00923,-0.0556,0.1621,1,90.3316
cr1,11,1.4244,0.01694,0.01114,-0.049,0.1439,1,84.085
cr1,12,1.461,0.02058,0.01449,-0.0404,0.0907,1,70.9913
cr1,1,0.5662,0.0075,0.00163,-0.0905,0.6172,0.2061,75.4933
cr1,15,1.4903,0.04179,0.03586,-0.0191,0.0126,1,35.6616
cr1,14,1.4797,0.03379,0.02749,-0.0239,0.016,1,43.7911
cr1,13,1.4491,0.02826,0.02177,-0.0292,0.0197,1,51.2774
cr1,2,0.6654,0.00761,0.00169,-0.0875,0.5664,0.2436,87.4376
cr1,6,1.1329,0.01019,0.00463,-0.0948,0.2662,1,111.178
cr1,5,1.0618,0.00918,0.00387,-0.1029,0.3178,1,115.664
cr1,4,0.9838,0.00826,0.00324,-0.1096,0.374,1,119.104
cr1,9,1.3002,0.01354,0.0077,-0.0633,0.1794,1,96.0266
cr1,7,1.1939,0.01123,0.0055,-0.0849,0.2274,1,106.313
cr1,8,1.2412,0.0123,0.00646,-0.0725,0.1972,1,100.911
curtisc72,-1,0.5602,0.00854,0.00147,-0.0971,0.4366,0.0311,65.5972
curtisc72,0,0.6685,0.00873,0.00149,-0.0972,0.3895,0.0298,76.575
curtisc72,4,1.0936,0.00867,0.00347,-0.099,0.2823,1,126.136
curtisc72,3,0.9875,0.00813,0.00294,-0.0986,0.2937,1,121.464
curtisc72,5,1.178,0.01101,0.00483,-0.0963,0.149,1,106.994
curtisc72,6,1.2644,0.01318,0.00642,-0.094,0.0799,1,95.9332
dae11,-1,0.5476,0.00868,0.00271,-0.1269,0.6258,0.0245,63.0876
dae11,-3,0.3164,0.0107,0.00503,-0.1255,0.6408,0.0163,29.5701
dae11,10,1.5953,0.01471,0.01008,-0.1064,0.3138,1,108.45
dae11,1,0.7752,0.00674,0.00231,-0.1288,0.6077,0.6741,115.015
dae11,0,0.6626,0.00786,0.00221,-0.1279,0.6149,0.196,84.3003
dae11,12,1.5848,0.02777,0.02275,-0.0852,0.1972,1,57.0688
dae11,2,0.8912,0.0062,0.00228,-0.1297,0.5956,1,143.742
dae11,14,1.587,0.04439,0.03903,-0.0731,0.0968,1,35.7513
dae11,3,1.0055,0.00644,0.00244,-0.1305,0.5828,1,156.134
dae11,4,1.1186,0.00667,0.00257,-0.1313,0.5663,1,167.706
dae11,8,1.5357,0.00928,0.00501,-0.1298,0.44,1,165.485
dae11,7,1.4429,0.00815,0.00399,-0.1319,0.4888,1,177.043
dae11,5,1.2305,0.00699,0.0029,-0.132,0.548,1,176.037
dae11,6,1.339,0.00746,0.00335,-0.1323,0.5225,1,179.491
dae21,-1,0.5603,0.00883,0.0031,-0.1329,0.6424,0.0227,63.4541
dae11,9,1.6023,0.01116,0.00665,-0.1236,0.3724,1,143.575
dae21,-2,0.4455,0.01013,0.0047,-0.1325,0.6581,0.0206,43.9783
dae21,1,0.7909,0.00705,0.00186,-0.1344,0.6157,0.3544,112.184
dae21,0,0.6769,0.00783,0.0019,-0.1335,0.6333,0.0329,86.4496
dae21,11,1.5932,0.02095,0.01562,-0.0952,0.1948,1,76.0477
dae21,10,1.5781,0.01602,0.0109,-0.1052,0.2513,1,98.5081
dae21,12,1.6075,0.02677,0.02124,-0.0869,0.1427,1,60.0486
dae21,13,1.6201,0.03361,0.02793,-0.0802,0.0999,1,48.2029
dae21,3,1.0161,0.00622,0.00222,-0.1351,0.5805,1,163.36
dae21,15,1.6574,0.04903,0.04343,-0.0722,0.0537,1,33.8038
dae21,4,1.1275,0.00663,0.00249,-0.1353,0.5543,1,170.06
dae21,2,0.9031,0.0059,0.00208,-0.1347,0.6021,1,153.068
dae21,7,1.439,0.00886,0.00436,-0.1331,0.434,1,162.415
dae21,6,1.3427,0.00777,0.00347,-0.1349,0.4879,1,172.806
dae21,8,1.5228,0.01032,0.00562,-0.1293,0.373,1,147.558
dae21,5,1.2367,0.00713,0.0029,-0.1353,0.5244,1,173.45
dae31,-2,0.5163,0.01027,0.00519,-0.1559,0.7214,0.018,50.2726
dae31,-1,0.6303,0.00801,0.0025,-0.156,0.704,0.0241,78.6891
dae21,9,1.5627,0.0125,0.00752,-0.1179,0.3047,1,125.016
dae31,1,0.858,0.00679,0.00175,-0.1566,0.6659,0.2838,126.362
dae31,10,1.5417,0.01799,0.01236,-0.107,0.2027,1,85.6976
dae31,12,1.6164,0.02593,0.02006,-0.0916,0.1224,1,62.3371
dae31,13,1.6517,0.03079,0.02488,-0.0854,0.0955,1,53.644
dae31,14,1.6827,0.03653,0.03064,-0.08,0.0735,1,46.0635
dae31,3,1.0751,0.00615,0.00222,-0.1556,0.5987,1,174.813
dae31,2,0.9668,0.0057,0.00203,-0.1563,0.6382,1,169.614
dae31,5,1.2758,0.00768,0.00327,-0.1517,0.498,1,166.12
dae31,4,1.1789,0.00679,0.00263,-0.1542,0.5519,1,173.623
dae31,6,1.3634,0.00879,0.0041,-0.1477,0.4389,1,155.108
dae31,7,1.4361,0.01004,0.00516,-0.141,0.3845,1,143.038
dae31,9,1.5061,0.01463,0.00926,-0.1166,0.2603,1,102.946
dae51,-1,0.3636,0.0063,0.00117,-0.1024,0.7343,0.2576,57.7143
dae51,-3,0.1338,0.00828,0.00273,-0.1006,0.7824,0.0178,16.1594
dae51,1,0.5847,0.00481,0.00121,-0.1021,0.664,1,121.559
dae51,0,0.4767,0.00537,0.00119,-0.1033,0.7033,0.6485,88.7709
dae51,3,0.8104,0.00567,0.0016,-0.1028,0.5617,1,142.928
dae51,4,0.921,0.00632,0.00201,-0.1029,0.4973,1,145.728
dae51,5,1.0197,0.00831,0.003,-0.1014,0.2953,1,122.708
dae51,2,0.6983,0.00516,0.00133,-0.1026,0.6176,1,135.329
dae51,7,1.2074,0.01289,0.00617,-0.0972,0.0382,1,93.6695
dae51,6,1.1169,0.01037,0.00435,-0.0998,0.1512,1,107.705
dae51,9,1.3909,0.01652,0.00973,-0.0919,0.0084,1,84.1949
davissm,10,1.5389,0.02838,0.02278,-0.114,0.008,1,54.2248
davissm,2,0.9277,0.00593,0.00205,-0.1627,0.6691,1,156.442
davissm,3,1.0281,0.00709,0.00255,-0.1606,0.532,1,145.007
davissm,4,1.124,0.00886,0.00345,-0.158,0.3536,1,126.862
davissm,5,1.2032,0.01245,0.0055,-0.1528,0.0626,1,96.6426
davis,-1,0.3157,0.00897,0.0013,-0.0891,0.3925,0.0299,35.1951
davissm,8,1.4599,0.01878,0.01219,-0.1391,0.0091,1,77.737
davis,-2,0.2155,0.00858,0.00137,-0.0895,0.494,0.0311,25.1166
davis,-3,0.1068,0.0089,0.00178,-0.0884,0.4994,0.0328,12
davis,-4,0.0004,0.00936,0.00249,-0.0877,0.5464,0.0301,0.042735
davis,-5,-0.0961,0.00984,0.00376,-0.0888,0.6692,0.025,-9.76626
davis,0,0.4197,0.00907,0.00128,-0.0894,0.3675,0.029,46.2734
davis,1,0.5292,0.00886,0.0013,-0.0905,0.3839,0.0294,59.7291
davis,3,0.7349,0.00881,0.00175,-0.0902,0.3762,0.1442,83.4166
davis,2,0.6349,0.00888,0.00145,-0.0909,0.3839,0.0451,71.4977
davis_corrected,-1,0.047,0.00709,0.00164,-0.0159,0.4787,0.5258,6.62906
davis_corrected,-4,-0.2665,0.0089,0.00246,-0.0207,0.5485,0.1708,-29.9438
davis_corrected,-2,-0.0582,0.00764,0.00177,-0.0174,0.4994,0.3837,-7.6178
davis_corrected,-3,-0.1627,0.00825,0.00205,-0.019,0.5228,0.2619,-19.7212
davis_corrected,-5,-0.3696,0.0096,0.003,-0.0226,0.5765,0.1125,-38.5
davis_corrected,0,0.1531,0.00673,0.00163,-0.0144,0.4596,0.6586,22.7489
davis_corrected,1,0.2604,0.00653,0.00177,-0.013,0.4416,0.7788,39.8775
davis_corrected,10,1.2848,0.01348,0.00806,-0.0226,0.1471,1,95.3116
davis_corrected,12,1.2515,0.0213,0.01571,0.0111,0.0661,1,58.7559
davis_corrected,2,0.3688,0.00663,0.002,-0.0117,0.4242,0.8574,55.6259
davis_corrected,4,0.6259,0.00745,0.00284,-0.0179,0.3906,0.9459,84.0134
davis_corrected,3,0.4878,0.00702,0.00246,-0.0126,0.4073,0.9227,69.4872
davis_corrected,5,0.7673,0.00792,0.00326,-0.0243,0.3742,0.9638,96.8813
davis_corrected,6,0.9012,0.0084,0.00374,-0.0292,0.3577,0.98,107.286
davis_corrected,7,1.029,0.00895,0.00423,-0.033,0.3261,0.9907,114.972
davis_corrected,8,1.1509,0.00967,0.00491,-0.0359,0.2963,0.9966,119.018
davis_corrected,9,1.2626,0.01078,0.00591,-0.0372,0.2483,1,117.124
daytonwright6,1,0.6025,0.00922,0.00208,-0.0571,0.3969,0.0311,65.3471
daytonwright6,6,1.2456,0.01071,0.00539,-0.0867,0.2838,1,116.303
daytonwrightt1,-3,0.3574,0.00813,0.00193,-0.096,0.6608,0.0308,43.9606
daytonwrightt1,-2,0.4597,0.00815,0.00157,-0.0942,0.5925,0.0289,56.4049
daytonwrightt1,-4,0.2507,0.00855,0.00263,-0.0971,0.6967,0.035,29.3216
daytonwrightt1,1,0.7527,0.00869,0.00227,-0.0884,0.3894,0.3134,86.6168
daytonwrightt1,0,0.6595,0.00809,0.00187,-0.0909,0.4833,0.2234,81.5204
daytonwrightt1,6,1.2416,0.0115,0.00567,-0.0843,0.1951,1,107.965
daytonwrightt1,5,1.1603,0.01078,0.00492,-0.0884,0.2131,1,107.635
defcnd1,-1,0.2841,0.00862,0.0026,-0.0633,0.4771,0.3535,32.9582
defcnd1,-2,0.1766,0.00931,0.00275,-0.0642,0.4831,0.2087,18.9689
defcnd1,-4,-0.0423,0.01005,0.00339,-0.0657,0.514,0.1368,-4.20896
defcnd1,-3,0.0691,0.00966,0.00299,-0.0652,0.5022,0.1516,7.15321
defcnd1,-5,-0.1527,0.01067,0.00407,-0.0665,0.5195,0.1248,-14.3112
defcnd1,1,0.5089,0.00856,0.00268,-0.0629,0.4548,0.4507,59.4509
defcnd1,12,1.5592,0.01672,0.01206,-0.0449,0.295,1,93.2536
defcnd1,10,1.4504,0.0123,0.00755,-0.0571,0.3278,1,117.919
defcnd1,11,1.5214,0.0135,0.00886,-0.052,0.3179,1,112.696
defcnd1,0,0.3976,0.00849,0.0026,-0.0633,0.4691,0.4101,46.8316
defcnd1,13,1.6085,0.0207,0.01619,-0.0419,0.2817,1,77.7053
defcnd1,14,1.625,0.02738,0.02296,-0.038,0.2655,1,59.3499
defcnd1,2,0.619,0.00875,0.00292,-0.0625,0.4391,0.4932,70.7429
defcnd1,4,0.8267,0.00833,0.00336,-0.0595,0.4203,0.7759,99.2437
defcnd1,3,0.7302,0.00869,0.00308,-0.0624,0.4334,0.5524,84.0276
defcnd1,5,0.9657,0.0087,0.00407,-0.0653,0.3997,0.9679,111
defcnd1,6,1.1212,0.00913,0.00451,-0.0748,0.3925,0.993,122.804
defcnd1,7,1.2475,0.00978,0.00506,-0.0791,0.3743,1,127.556
defcnd1,8,1.3227,0.01046,0.00573,-0.0728,0.3597,1,126.453
defcnd1,9,1.4033,0.01104,0.00638,-0.0676,0.3497,1,127.111
defcnd2,-3,0.0384,0.01032,0.00321,-0.0617,0.4604,0.0233,3.72093
defcnd2,10,1.2155,0.01959,0.01266,-0.0275,0.0036,1,62.047
defcnd2,1,0.4209,0.00748,0.0021,-0.0497,0.3494,0.826,56.2701
defcnd2,0,0.3191,0.00755,0.0019,-0.0518,0.3534,0.7195,42.2649
defcnd2,11,1.267,0.02292,0.0162,-0.0227,0.0036,1,55.2792
defcnd2,12,1.3008,0.02805,0.02165,-0.0178,0.0038,1,46.3743
defcnd2,13,1.3156,0.03548,0.02946,-0.0137,0.0041,1,37.08
defcnd2,14,1.2993,0.0476,0.04211,-0.0116,0.0045,1,27.2962
defcnd2,7,1.1261,0.0101,0.00456,-0.0629,0.2584,1,111.495
defcnd2,5,0.9481,0.00915,0.00388,-0.0698,0.3237,0.998,103.617
defcnd2,6,1.0495,0.00938,0.00388,-0.0689,0.28,1,111.887
defcnd3,-1,0.1717,0.00841,0.00144,-0.0455,0.5472,0.0107,20.4162
defcnd3,-2,0.0663,0.00862,0.00205,-0.0477,0.6169,0.0116,7.69142
defcnd3,11,1.3726,0.01632,0.00992,-0.0222,0.0322,1,84.1054
defcnd3,12,1.4225,0.01926,0.01265,-0.0134,0.0089,1,73.8577
defcnd3,10,1.2916,0.01473,0.00838,-0.0266,0.0405,1,87.685
defcnd3,1,0.3614,0.00636,0.00135,-0.0383,0.4379,0.7479,56.8239
defcnd3,4,0.7523,0.00815,0.00264,-0.0501,0.2185,1,92.3067
defcnd3,2,0.4953,0.00642,0.00174,-0.0424,0.3686,0.9695,77.1495
defcnd3,7,1.0254,0.01095,0.00471,-0.038,0.0887,1,93.6438
defcnd3,6,0.9436,0.00923,0.00361,-0.0433,0.1829,1,102.232
df101,-2,0.044,0.007,0.0013,-0.0542,0.7753,0.1395,6.28571
defcnd3,9,1.2061,0.01326,0.00697,-0.0306,0.0551,1,90.9578
df101,-3,-0.0612,0.00801,0.00184,-0.0556,0.822,0.0092,-7.64045
df101,-5,-0.2762,0.0097,0.00406,-0.0585,0.8891,0.0054,-28.4742
df101,-4,-0.1704,0.00851,0.00245,-0.0566,0.8567,0.0062,-20.0235
df101,1,0.3471,0.005,0.0012,-0.0472,0.6043,0.8912,69.42
df101,12,1.3709,0.0199,0.01392,-0.0216,0.0057,1,68.8894
df101,11,1.312,0.01778,0.01155,-0.0285,0.006,1,73.7908
df101,10,1.2407,0.01593,0.00945,-0.0342,0.0061,1,77.8845
df101,0,0.2503,0.00548,0.00105,-0.0509,0.6602,0.6065,45.6752
df101,5,0.8142,0.00841,0.00295,-0.0537,0.2011,1,96.8133
df101,3,0.6133,0.00607,0.00172,-0.0564,0.4488,0.9932,101.038
df101,2,0.47,0.00542,0.00146,-0.0491,0.5374,0.9752,86.7159
df101,4,0.7323,0.00705,0.00214,-0.0589,0.3255,1,103.872
df101,8,1.0667,0.0132,0.00646,-0.0408,0.0124,1,80.8106
df101,7,0.9909,0.01071,0.00462,-0.046,0.0899,1,92.521
df101,9,1.1529,0.01482,0.00841,-0.0369,0.0064,1,77.7935
df102,-1,0.1495,0.00605,0.00112,-0.0503,0.7036,0.3888,24.7107
df102,-5,-0.2753,0.00893,0.0032,-0.0561,0.89,0.0136,-30.8287
df102,-4,-0.1672,0.00832,0.0024,-0.0547,0.8581,0.0188,-20.0962
df102,-2,0.0429,0.00634,0.00136,-0.0517,0.7718,0.2841,6.76656
df102,1,0.3491,0.00514,0.00126,-0.0445,0.5733,0.886,67.9183
df102,0,0.2534,0.00563,0.00108,-0.0485,0.6447,0.5878,45.0089
df102,13,1.3889,0.02621,0.02082,-0.0066,0.0022,1,52.9912
df102,10,1.245,0.0162,0.0096,-0.0305,0.005,1,76.8519
df102,12,1.3622,0.02149,0.01559,-0.0155,0.002,1,63.3876
df102,11,1.3145,0.01837,0.01204,-0.0242,0.0019,1,71.5569
df102,4,0.7218,0.00826,0.00266,-0.0539,0.1871,1,87.385
df102,2,0.4685,0.00583,0.00158,-0.0457,0.4574,0.9752,80.3602
df102,3,0.603,0.00744,0.00216,-0.0517,0.2429,0.994,81.0484
df102,14,1.386,0.03407,0.02925,0.0006,0.0027,1,40.681
df102,5,0.8129,0.00894,0.00321,-0.0499,0.1579,1,90.9284
df102,7,0.9941,0.01092,0.00475,-0.0426,0.0847,1,91.0348
df102,6,0.901,0.01001,0.00398,-0.0458,0.1047,1,90.01
df102,8,1.088,0.01191,0.00567,-0.0399,0.0679,1,91.3518
dfvlrr4,-2,0.2199,0.00555,0.00189,-0.1161,0.8776,0.6348,39.6216
dfvlrr4,-3,0.1004,0.00563,0.00193,-0.1146,0.9008,0.5838,17.833
dfvlrr4,-1,0.3363,0.0056,0.00181,-0.1165,0.8367,0.6615,60.0536
dfvlrr4,-4,-0.0266,0.00608,0.00212,-0.1107,0.913,0.4738,-4.375
dfvlrr4,2,0.6492,0.00964,0.00334,-0.1124,0.2183,0.7048,67.3444
dfvlrr4,14,1.7107,0.02887,0.02289,-0.0721,0.0139,0.7906,59.2553
dfvlrr4,15,1.748,0.0336,0.02792,-0.0643,0.0109,0.7967,52.0238
dfvlrr4,3,0.7547,0.01083,0.00409,-0.1116,0.1144,0.7145,69.6861
dfvlrr4,5,0.97,0.01255,0.00571,-0.1105,0.0758,0.7319,77.2908
dfvlrr4,4,0.8633,0.01169,0.00486,-0.1112,0.0909,0.7234,73.8494
dfvlrr4,8,1.2748,0.0157,0.0089,-0.1058,0.0522,0.7538,81.1975
dfvlrr4,7,1.1757,0.01466,0.00773,-0.1078,0.0591,0.7469,80.1978
dga1138,1,0.4334,0.00985,0.0016,-0.0549,0.1581,0.0332,44
dga1138,4,0.7462,0.01123,0.00243,-0.0574,0.0647,0.0341,66.447
dga1138,2,0.5398,0.00993,0.00164,-0.0559,0.1484,0.0305,54.3605
dga1138,3,0.6422,0.01071,0.00197,-0.0565,0.0869,0.0298,59.9627
dh4009sm,-1,-0.0356,0.00457,0.00079,-0.0175,0.873,0.685,-7.78993
dh4009sm,-2,-0.1471,0.00753,0.00174,-0.0153,0.934,0.0097,-19.5352
dh4009sm,1,0.1696,0.00464,0.00096,-0.0136,0.7636,0.8153,36.5517
dh4009sm,0,0.0656,0.00454,0.00092,-0.0151,0.8193,0.7871,14.4493
dh4009sm,3,0.3322,0.00838,0.00231,-0.0018,0.0225,0.8795,39.642
doa5,6,0.7731,0.0126,0.00596,-0.0443,0.1406,0.7334,61.3571
doa5,5,0.6952,0.01174,0.00503,-0.0496,0.1483,0.7216,59.2164
doa5,2,0.4763,0.00877,0.00266,-0.0695,0.3236,0.6402,54.3101
doa5,4,0.6182,0.01074,0.00417,-0.0553,0.1762,0.7056,57.5605
dormoy,-3,0.1416,0.00991,0.00126,-0.0525,0.1465,0.0163,14.2886
dormoy,1,0.5464,0.0108,0.00186,-0.0565,0.0586,0.0304,50.5926
dormoy,3,0.7412,0.01192,0.0023,-0.0577,0.0224,0.0348,62.1812
drgnfly,-3,0.2557,0.01139,0.00448,-0.1006,0.5563,0.03,22.4495
drgnfly,-1,0.4638,0.0103,0.00333,-0.0987,0.5483,0.0417,45.0291
drgnfly,-2,0.3592,0.01077,0.00385,-0.0995,0.5524,0.0341,33.3519
drgnfly,-5,0.0573,0.0135,0.00685,-0.1042,0.5653,0.0255,4.24444
drgnfly,1,0.6349,0.00819,0.00342,-0.0903,0.5394,0.7832,77.5214
drgnfly,11,1.6872,0.01261,0.00876,-0.0994,0.4732,1,133.799
drgnfly,2,0.847,0.00851,0.00411,-0.1126,0.5358,0.9755,99.53
drgnfly,4,1.1423,0.00912,0.00456,-0.1312,0.5266,0.9958,125.252
drgnfly,3,0.9967,0.00881,0.00433,-0.1222,0.5313,0.9867,113.133
drgnfly,6,1.3541,0.00979,0.00536,-0.1328,0.5176,1,138.315
drgnfly,7,1.4421,0.01012,0.00577,-0.1299,0.5126,1,142.5
drgnfly,5,1.2657,0.00948,0.00496,-0.1358,0.522,1,133.513
drgnfly,8,1.529,0.01074,0.00645,-0.1269,0.5065,1,142.365
ds19,-2,0.0628,0.00602,0.00107,-0.0627,0.8399,0.2293,10.4319
ds19,-1,0.1691,0.00505,0.00088,-0.0618,0.7843,0.551,33.4851
drgnfly,9,1.6035,0.01121,0.00714,-0.1216,0.5012,1,143.042
ds19,-3,-0.0436,0.00713,0.00174,-0.0639,0.9054,0.0359,-6.11501
ds19,-5,-0.2892,0.00964,0.00456,-0.0598,0.9808,0.0172,-30
ds19,-4,-0.1606,0.00803,0.0028,-0.0633,0.957,0.0231,-20
ds19,1,0.3779,0.00485,0.001,-0.0574,0.616,0.8819,77.9175
ds19,0,0.2744,0.0047,0.00091,-0.0599,0.7104,0.7804,58.383
ds19,10,1.2822,0.01844,0.01278,-0.0425,0.0092,1,69.5336
ds19,11,1.352,0.02206,0.01679,-0.037,0.008,1,61.2874
ds19,12,1.402,0.02602,0.02114,-0.0293,0.0072,1,53.8816
ds19,13,1.4137,0.03135,0.02685,-0.0187,0.0066,1,45.0941
ds19,14,1.3845,0.0429,0.03897,-0.0134,0.0062,1,32.2727
ds19,2,0.4937,0.00522,0.00114,-0.0579,0.5131,1,94.5785
ds19,3,0.6007,0.00595,0.00147,-0.057,0.4125,1,100.958
ds19,5,0.8111,0.00801,0.00269,-0.0549,0.2025,1,101.261
ds19,4,0.7071,0.00683,0.00196,-0.056,0.313,1,103.529
ds19,6,0.9117,0.00963,0.00379,-0.0533,0.0935,1,94.6729
ds19,8,1.1076,0.01326,0.00712,-0.0493,0.0159,1,83.5294
ds19,7,1.0108,0.01135,0.00521,-0.0515,0.0347,1,89.0573
ds19,9,1.1991,0.0156,0.00968,-0.0463,0.0115,1,76.8654
ds21,-1,0.1361,0.00511,0.00085,-0.0541,0.7746,0.5506,26.6341
ds21,-2,0.0285,0.00601,0.00107,-0.0548,0.8329,0.2588,4.7421
ds21,-3,-0.078,0.00705,0.00162,-0.0558,0.9007,0.0528,-11.0638
ds21,1,0.349,0.00499,0.00097,-0.0508,0.6066,0.8503,69.9399
ds21,10,1.2721,0.01822,0.01248,-0.0395,0.0098,1,69.8189
ds21,0,0.2421,0.00481,0.00088,-0.0524,0.692,0.7692,50.3326
ds21,11,1.3524,0.02152,0.01607,-0.036,0.0086,1,62.8439
ds21,13,1.4246,0.03296,0.02844,-0.0214,0.0079,1,43.2221
ds21,12,1.4032,0.02702,0.022,-0.0297,0.0081,1,51.9319
ds21,2,0.4554,0.00521,0.00113,-0.0489,0.5147,0.973,87.4088
ds21,3,0.5706,0.00597,0.00142,-0.0499,0.3995,1,95.5779
ds21,5,0.7827,0.00826,0.00275,-0.0484,0.1673,1,94.7579
ds21,9,1.1835,0.01534,0.00934,-0.0424,0.012,1,77.1512
ds21,8,1.088,0.01313,0.00696,-0.0445,0.0164,1,82.8637
ds21,7,0.9886,0.01149,0.00529,-0.0462,0.0276,1,86.04
dsma523b,-4,-0.1196,0.0122,0.00692,-0.0989,0.9869,0.067,-9.80328
dsma523b,1,0.6003,0.01256,0.00384,-0.1315,0.0647,0.0779,47.7946
dsma523b,13,1.6186,0.04547,0.04141,-0.0751,0.0199,0.7114,35.5971
dsma523b,12,1.6987,0.03093,0.02551,-0.1027,0.0217,0.7097,54.9208
dsma523b,3,0.8539,0.01358,0.00662,-0.138,0.041,0.6637,62.8792
dsma523b,5,1.0668,0.01593,0.00917,-0.1337,0.0358,0.6867,66.968
dsma523b,4,0.9608,0.01484,0.00799,-0.1359,0.0387,0.675,64.7439
dsma523b,6,1.1706,0.01719,0.01045,-0.1312,0.0323,0.6958,68.0977
du-80-141,-1,0.4034,0.00676,0.00206,-0.1198,0.6212,0.6051,59.6746
du-80-141,-2,0.2915,0.00636,0.00183,-0.1204,0.6568,0.585,45.8333
du-80-141,-4,0.0761,0.00791,0.00232,-0.1214,0.7284,0.1433,9.62073
du-80-141,-5,-0.032,0.00893,0.00303,-0.1215,0.7578,0.038,-3.58343
du-80-141,1,0.6254,0.00783,0.0029,-0.1181,0.5514,0.6262,79.8723
du-80-141,11,1.5383,0.01854,0.01187,-0.0836,0.0654,0.6705,82.972
du-80-141,0,0.5149,0.00732,0.00253,-0.119,0.5888,0.62,70.3415
du-80-141,12,1.5808,0.02157,0.0149,-0.0742,0.0428,0.675,73.287
du-80-141,13,1.5995,0.02674,0.02011,-0.0645,0.0247,0.6799,59.8168
du-80-141,2,0.7336,0.00802,0.0029,-0.1172,0.5105,0.6359,91.4713
du-80-141,4,0.947,0.00895,0.00356,-0.1149,0.4186,0.6443,105.81
du-80-141,3,0.842,0.00839,0.0032,-0.1163,0.4692,0.6403,100.358
du-80-141,6,1.1463,0.01069,0.00479,-0.1105,0.2864,0.6515,107.231
du-80-141,5,1.0499,0.00963,0.00408,-0.1132,0.364,0.6482,109.024
du-80-141,8,1.3285,0.01323,0.00688,-0.1036,0.1707,0.6571,100.416
du-80-176-v1,-4,0.0467,0.00928,0.00342,-0.1027,0.6947,0.1529,5.03233
du-80-176-v1,-3,0.1671,0.00678,0.00271,-0.1087,0.6821,0.6729,24.646
du-80-176-v1,-5,-0.0592,0.01097,0.00451,-0.101,0.7026,0.0194,-5.39654
du-80-176-v1,1,0.6148,0.00931,0.00496,-0.1082,0.6183,0.7235,66.0365
du-80-176-v1,10,1.4114,0.01761,0.01195,-0.0849,0.1907,0.741,80.1476
du-80-176-v1,0,0.5036,0.00918,0.00494,-0.1078,0.6397,0.72,54.8584
du-80-176-v1,4,0.9495,0.00946,0.00497,-0.1113,0.5459,0.7319,100.37
du-80-176-v1,5,1.0547,0.00977,0.00521,-0.1113,0.5086,0.734,107.953
du-80-176-v1,3,0.8393,0.00937,0.00497,-0.1104,0.5759,0.73,89.5731
du-80-176-v1,7,1.249,0.01099,0.00617,-0.1087,0.4053,0.7365,113.649
du-80-176-v1,8,1.3189,0.01234,0.00722,-0.1024,0.3309,0.7381,106.88
du84132v,-3,0.1431,0.00885,0.00231,-0.107,0.6676,0.0213,16.1695
du84132v,10,1.2562,0.01861,0.01144,-0.0504,0.012,0.8153,67.5013
du84132v,11,1.2986,0.02133,0.01414,-0.0417,0.0045,0.8195,60.8814
du84132v,12,1.3414,0.02429,0.01724,-0.0342,0.0029,0.8264,55.2244
du84132v,6,0.9976,0.01287,0.00577,-0.0801,0.0656,0.7906,77.5136
du84132v,7,1.0629,0.01434,0.00698,-0.072,0.0355,0.7988,74.1213
du84132v,9,1.2016,0.01667,0.00943,-0.0585,0.0225,0.8108,72.0816
du8608418,-1,-0.0135,0.00592,0.00287,-0.017,0.8183,0.8749,-2.28041
du8608418,1,0.1987,0.00586,0.00272,-0.0129,0.7905,0.9206,33.9078
du8608418,2,0.3018,0.0054,0.00232,-0.0101,0.7608,0.9389,55.8889
du8608418,6,0.7006,0.01018,0.00428,-0.0044,0.0335,0.963,68.8212
du8608418,5,0.5933,0.00899,0.00328,-0.0039,0.0864,0.9613,65.9956
du8608418,7,0.8036,0.01204,0.00611,-0.0041,0.0035,0.9656,66.7442
du8608418,8,0.9036,0.01452,0.00896,-0.0034,0.002,0.9678,62.2314
du8608418,9,0.9845,0.02058,0.01588,0,0.0022,0.9715,47.8377
du861372,10,0.9301,0.01617,0.01013,0.0254,0.0132,0.806,57.5201
du861372,7,0.7376,0.01217,0.00556,0.0027,0.028,0.7962,60.6081
du861372,6,0.6602,0.0124,0.00393,-0.0024,0.0733,0.1963,53.2419
du861372,8,0.8172,0.0139,0.00755,0.0075,0.0165,0.7991,58.7914
e1098,-1,0.4057,0.00822,0.00343,-0.1176,0.6259,0.5503,49.3552
e1098,-3,0.1705,0.00818,0.00343,-0.1136,0.6322,0.5147,20.8435
e1098,-4,0.0533,0.00803,0.00281,-0.1119,0.6337,0.3809,6.63761
e1098,-5,-0.0507,0.01082,0.00422,-0.1095,0.6349,0.0291,-4.68577
e1098,1,0.64,0.00844,0.00361,-0.1217,0.6165,0.5605,75.8294
e1098,10,1.271,0.02504,0.01879,-0.0808,0.1385,0.6572,50.7588
